Session_ID,Flavor,Arm,Correct
1,H,3,N
1,H,7,Y
1,H,4,N
1,H,1,N
1,H,3,N
1,H,2,N
1,C,3,Y
1,C,3,Y
1,C,1,N
1,C,7,N
1,C,3,Y
1,C,3,Y
1,H,2,N
1,C,8,N
1,C,3,Y
1,H,3,N
1,H,7,Y
1,H,2,N
1,C,3,Y
1,H,3,N
1,H,7,Y
1,C,3,Y
1,C,3,Y
1,C,7,N
1,H,3,N
1,C,3,Y
2,C,4,N
2,C,3,Y
2,C,3,Y
2,C,7,N
2,C,2,N
2,C,3,Y
2,H,3,N
2,H,2,N
2,H,3,N
2,H,7,Y
2,H,3,N
2,H,5,N
2,C,7,N
2,C,3,Y
2,H,2,N
2,H,7,Y
2,H,7,Y
2,H,7,Y
2,C,7,N
2,H,4,N
2,C,3,Y
2,C,3,Y
2,C,7,N
2,H,3,N
2,H,7,Y
2,C,3,Y
2,C,3,Y
2,H,7,Y
2,C,3,Y
2,H,7,Y
2,H,7,Y
2,H,3,N
2,H,7,Y
2,H,7,Y
2,C,7,N
2,C,3,Y
2,C,2,N
2,C,7,N
3,H,6,N
3,H,3,N
3,H,7,Y
3,H,3,N
3,H,7,Y
3,H,2,N
3,C,7,N
3,C,8,N
3,C,3,Y
3,C,2,N
3,C,7,N
3,C,4,N
3,H,3,N
3,C,7,N
3,H,7,Y
3,C,3,Y
3,C,7,N
3,H,3,N
3,C,7,N
3,C,3,Y
3,C,7,N
3,H,7,Y
3,C,3,Y
3,H,7,Y
3,C,3,Y
3,C,3,Y
3,C,3,Y
3,C,3,Y
3,H,3,N
3,H,3,N
3,C,3,Y
3,H,3,N
3,H,3,N
3,H,3,N
3,C,3,Y
3,H,3,N
3,C,3,Y
3,C,3,Y
3,H,7,Y
3,C,3,Y
3,H,3,N
3,H,3,N
3,C,3,Y
3,H,3,N
3,H,7,Y
3,C,3,Y
3,H,3,N
3,C,3,Y
3,H,3,N
3,H,3,N
4,C,3,Y
4,C,7,N
4,C,3,Y
4,C,3,Y
4,C,3,Y
4,C,3,Y
4,H,7,Y
4,H,3,N
4,H,3,N
4,H,3,N
4,H,8,N
4,H,3,N
4,C,3,Y
4,C,7,N
4,H,8,N
4,H,3,N
4,C,7,N
4,C,3,Y
4,C,3,Y
4,C,7,N
4,H,3,N
4,H,3,N
4,H,7,Y
4,C,3,Y
4,H,3,N
4,C,3,Y
4,C,3,Y
4,C,7,N
4,C,7,N
4,H,3,N
4,H,7,Y
4,C,3,Y
4,H,7,Y
4,C,3,Y
4,H,3,N
4,H,3,N
4,H,7,Y
4,C,3,Y
4,H,7,Y
4,C,3,Y
4,H,7,Y
4,H,7,Y
4,H,3,N
4,C,3,Y
4,H,7,Y
4,H,7,Y
4,H,7,Y
4,C,3,Y
4,C,7,N
4,C,3,Y
4,C,8,N
4,H,7,Y
4,C,3,Y
4,C,7,N
4,C,3,Y
4,H,7,Y
4,H,7,Y
4,H,3,N
4,H,7,Y
4,H,7,Y
4,H,7,Y
4,C,7,N
4,C,3,Y
4,C,7,N
4,C,7,N
4,C,3,Y
4,H,7,Y
4,H,7,Y
4,C,3,Y
4,H,7,Y
5,H,3,N
5,H,7,Y
5,H,7,Y
5,H,7,Y
5,H,7,Y
5,H,7,Y
5,C,3,Y
5,C,7,N
5,C,7,N
5,C,3,Y
5,C,7,N
5,C,3,Y
5,H,7,Y
5,H,7,Y
5,H,7,Y
5,C,7,N
